id,title,description,brand,item_group_id,google_product_category,product_type,gtin,mpn,link,mobile_link,image_link,additional_image_links,platform_specific_link,lifestyle_image_link,price,sale_price,sale_price_effective_date,cost_of_goods_sold,availability,age_group,color,gender,size,size_type,material,pattern,condition,product_detail,product_highlight,adult,is_bundle,expiration_date,average_review_rating,number_of_ratings,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4,custom_number_0,custom_number_1,custom_number_2,custom_number_3,custom_number_4
11,Wireless Earbuds,True wireless earbuds with active noise cancellation and touch controls.,SoundWave,electronics-audio,Electronics > Audio > Headphones,Electronics > Earbuds,,SNOO-011,https://snoocommerce.onrender.com/product/11,https://snoocommerce.onrender.com/product/11,https://images.unsplash.com/photo-1590658268037-6bf12f032f55?w=400&h=400&fit=crop,,,,59.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.4,189,Electronics,,,,,,,,,,
12,Cotton T-Shirt,Soft 100% organic cotton crew-neck tee in a relaxed fit.,ThreadBase,clothing-tops,Apparel & Accessories > Clothing > Shirts & Tops,Clothing > T-Shirts,,SNOO-012,https://snoocommerce.onrender.com/product/12,https://snoocommerce.onrender.com/product/12,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=400&h=400&fit=crop,,,,24.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.2,144,Clothing,,,,,,,,,,
13,French Press Coffee Maker,"Borosilicate glass French press with stainless steel plunger for rich, full-bodied coffee.",BrewMaster,kitchen-coffee,Home & Garden > Kitchen > Coffee Makers,Kitchen > Coffee,,SNOO-013,https://snoocommerce.onrender.com/product/13,https://snoocommerce.onrender.com/product/13,https://images.unsplash.com/photo-1572119865084-43c285814d63?w=400&h=400&fit=crop,,,,34.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.5,88,Kitchen,,,,,,,,,,
14,Sunglasses,Polarized UV400 sunglasses with lightweight acetate frames.,ShadeVault,accessories-eyewear,Apparel & Accessories > Clothing Accessories > Sunglasses,Accessories > Sunglasses,,SNOO-014,https://snoocommerce.onrender.com/product/14,https://snoocommerce.onrender.com/product/14,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=400&h=400&fit=crop,,,,69.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,112,Accessories,,,,,,,,,,
15,Throw Blanket,"Ultra-soft knitted throw blanket in neutral tones, perfect for any couch.",CozyNest,home-textiles,Home & Garden > Linens & Bedding > Blankets,Home > Blankets,,SNOO-015,https://snoocommerce.onrender.com/product/15,https://snoocommerce.onrender.com/product/15,https://images.unsplash.com/photo-1580301762395-21ce6d5d4bc4?w=400&h=400&fit=crop,,,,44.99 USD,,,,in stock,adult,,unisex,,,,knit,new,,,FALSE,FALSE,,4.6,67,Home,,,,,,,,,,
16,Plant Pot Set,Set of 3 minimalist ceramic planters with drainage holes and bamboo trays.,GreenSpace,home-garden,Home & Garden > Lawn & Garden > Planters,Home > Planters,,SNOO-016,https://snoocommerce.onrender.com/product/16,https://snoocommerce.onrender.com/product/16,https://images.unsplash.com/photo-1485955900006-10f4d324d411?w=400&h=400&fit=crop,,,,27.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,TRUE,FALSE,,4.1,48,Home,,,,,,,,,,
17,Mechanical Keyboard,Compact 75% mechanical keyboard with hot-swappable switches and RGB backlight.,KeyForge,electronics-peripherals,Electronics > Computers > Keyboards,Electronics > Keyboards,,SNOO-017,https://snoocommerce.onrender.com/product/17,https://snoocommerce.onrender.com/product/17,https://images.unsplash.com/photo-1618384887929-16ec33fab9ef?w=400&h=400&fit=crop,,,,129.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.7,231,Electronics,,,,,,,,,,
18,Denim Jacket,Classic denim jacket with a modern slim fit and vintage wash.,ThreadBase,clothing-outerwear,Apparel & Accessories > Clothing > Outerwear > Jackets,Clothing > Jackets,,SNOO-018,https://snoocommerce.onrender.com/product/18,https://snoocommerce.onrender.com/product/18,https://images.unsplash.com/photo-1551537482-f2075a1d41f2?w=400&h=400&fit=crop,,,,79.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.4,76,Clothing,,,,,,,,,,
19,Essential Oil Diffuser,"Ultrasonic aromatherapy diffuser with 7-color LED light and auto shut-off.",GlowHaven,home-wellness,Home & Garden > Decor > Aromatherapy,Home > Diffusers,,SNOO-019,https://snoocommerce.onrender.com/product/19,https://snoocommerce.onrender.com/product/19,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=400&h=400&fit=crop,,,,39.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.2,59,Home,,,,,,,,,,
20,Resistance Bands Set,Set of 5 latex resistance bands in varying strengths with carrying bag.,ZenFit,sports-accessories,Sporting Goods > Exercise & Fitness > Resistance Bands,Sports > Fitness,,SNOO-020,https://snoocommerce.onrender.com/product/20,https://snoocommerce.onrender.com/product/20,https://images.unsplash.com/photo-1598289431512-b97b0917affc?w=400&h=400&fit=crop,,,,19.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,TRUE,FALSE,,4.3,155,Sports,,,,,,,,,,
21,Wireless Mouse,Ergonomic wireless mouse with silent clicks and adjustable DPI up to 4000.,KeyForge,electronics-peripherals,Electronics > Computers > Mice,Electronics > Mice,,SNOO-021,https://snoocommerce.onrender.com/product/21,https://snoocommerce.onrender.com/product/21,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=400&h=400&fit=crop,,,,34.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,103,Electronics,,,,,,,,,,
22,Linen Shirt,Breathable linen button-down shirt perfect for warm weather.,ThreadBase,clothing-tops,Apparel & Accessories > Clothing > Shirts & Tops,Clothing > Shirts,,SNOO-022,https://snoocommerce.onrender.com/product/22,https://snoocommerce.onrender.com/product/22,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=400&h=400&fit=crop,,,,54.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.1,62,Clothing,,,,,,,,,,
23,Cast Iron Skillet,Pre-seasoned 12-inch cast iron skillet for stovetop and oven cooking.,IronHearth,kitchen-cookware,Home & Garden > Kitchen > Cookware,Kitchen > Cookware,,SNOO-023,https://snoocommerce.onrender.com/product/23,https://snoocommerce.onrender.com/product/23,https://images.unsplash.com/photo-1585442738733-7e3d60b58e4a?w=400&h=400&fit=crop,,,,44.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.7,198,Kitchen,,,,,,,,,,
24,Canvas Tote Bag,Durable organic cotton canvas tote with inner pocket and reinforced handles.,UrbanCarry,accessories-bags,Apparel & Accessories > Handbags & Wallets > Totes,Accessories > Bags,,SNOO-024,https://snoocommerce.onrender.com/product/24,https://snoocommerce.onrender.com/product/24,https://images.unsplash.com/photo-1544816155-12df9643f363?w=400&h=400&fit=crop,,,,22.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.0,45,Accessories,,,,,,,,,,
25,Face Moisturizer,Lightweight daily moisturizer with hyaluronic acid and SPF 30 protection.,PureSkin,beauty-skincare,Health & Beauty > Skin Care > Moisturizers,Beauty > Skincare,,SNOO-025,https://snoocommerce.onrender.com/product/25,https://snoocommerce.onrender.com/product/25,https://images.unsplash.com/photo-1556228578-0d85b1a4d571?w=400&h=400&fit=crop,,,,28.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.5,134,Beauty,,,,,,,,,,
26,Notebook Journal,A5 hardcover dotted journal with 192 pages of acid-free paper.,InkWell,office-stationery,Office Supplies > Paper Products > Notebooks,Office > Journals,,SNOO-026,https://snoocommerce.onrender.com/product/26,https://snoocommerce.onrender.com/product/26,https://images.unsplash.com/photo-1531346878377-a5be20888e57?w=400&h=400&fit=crop,,,,14.99 USD,,,,in stock,adult,,unisex,,,,dotted,new,,,FALSE,FALSE,,4.4,97,Office,,,,,,,,,,
27,Camping Hammock,"Ultralight parachute nylon hammock supporting up to 400 lbs with carabiners.",TrailBound,outdoor-camping,Sporting Goods > Outdoor Recreation > Camping > Hammocks,Outdoor > Hammocks,,SNOO-027,https://snoocommerce.onrender.com/product/27,https://snoocommerce.onrender.com/product/27,https://images.unsplash.com/photo-1520101244246-293f77ffc39e?w=400&h=400&fit=crop,,,,49.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.6,83,Outdoor,,,,,,,,,,
28,Puzzle Game 1000pc,1000-piece jigsaw puzzle featuring a vibrant world map illustration.,PuzzleCo,toys-puzzles,Toys & Games > Puzzles > Jigsaw Puzzles,Toys > Puzzles,,SNOO-028,https://snoocommerce.onrender.com/product/28,https://snoocommerce.onrender.com/product/28,https://images.unsplash.com/photo-1494059980473-813e73ee784b?w=400&h=400&fit=crop,,,,18.99 USD,,,,in stock,adult,,unisex,,,,printed,new,,,FALSE,FALSE,,4.3,56,Toys,,,,,,,,,,
29,USB-C Hub,"7-in-1 USB-C hub with HDMI, SD card reader, and 100W pass-through charging.",TechLink,electronics-accessories,Electronics > Computer Accessories > USB Hubs,Electronics > Hubs,,SNOO-029,https://snoocommerce.onrender.com/product/29,https://snoocommerce.onrender.com/product/29,https://images.unsplash.com/photo-1625842268584-8f3296236761?w=400&h=400&fit=crop,,,,39.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.4,142,Electronics,,,,,,,,,,
30,Wool Beanie,Chunky knit merino wool beanie with a fold-over cuff for extra warmth.,CozyNest,clothing-accessories,Apparel & Accessories > Clothing Accessories > Hats,Clothing > Hats,,SNOO-030,https://snoocommerce.onrender.com/product/30,https://snoocommerce.onrender.com/product/30,https://images.unsplash.com/photo-1576871337632-b9aef4c17ab9?w=400&h=400&fit=crop,,,,19.99 USD,,,,in stock,adult,,unisex,,,,knit,new,,,FALSE,FALSE,,4.2,38,Clothing,,,,,,,,,,
31,Chef Knife,Professional 8-inch chef knife with high-carbon stainless steel blade.,IronHearth,kitchen-cutlery,Home & Garden > Kitchen > Cutlery > Kitchen Knives,Kitchen > Knives,,SNOO-031,https://snoocommerce.onrender.com/product/31,https://snoocommerce.onrender.com/product/31,https://images.unsplash.com/photo-1593618998160-e34014e67546?w=400&h=400&fit=crop,,,,69.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.8,167,Kitchen,,,,,,,,,,
32,Wall Clock,Silent sweep wall clock with natural wood frame and minimalist dial.,TimeCraft,home-decor,Home & Garden > Decor > Clocks,Home > Clocks,,SNOO-032,https://snoocommerce.onrender.com/product/32,https://snoocommerce.onrender.com/product/32,https://images.unsplash.com/photo-1563861826100-9cb868fdbe1c?w=400&h=400&fit=crop,,,,42.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.1,41,Home,,,,,,,,,,
33,Lip Balm Set,"Organic lip balm trio in honey, rose, and mint with beeswax and shea butter.",PureSkin,beauty-lips,Health & Beauty > Skin Care > Lip Care,Beauty > Lip Care,,SNOO-033,https://snoocommerce.onrender.com/product/33,https://snoocommerce.onrender.com/product/33,https://images.unsplash.com/photo-1599735362370-3b8e7ad49d82?w=400&h=400&fit=crop,,,,12.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,TRUE,FALSE,,4.3,79,Beauty,,,,,,,,,,
34,Desk Organizer,"Bamboo desktop organizer with compartments for pens, phone, and sticky notes.",InkWell,office-storage,Office Supplies > Desk Accessories > Organizers,Office > Organizers,,SNOO-034,https://snoocommerce.onrender.com/product/34,https://snoocommerce.onrender.com/product/34,https://images.unsplash.com/photo-1544816155-12df9643f363?w=400&h=400&fit=crop,,,,26.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.0,33,Office,,,,,,,,,,
35,Hiking Boots,Waterproof mid-cut hiking boots with Vibram outsole and ankle support.,TrailBound,outdoor-footwear,Sporting Goods > Outdoor Recreation > Hiking > Boots,Outdoor > Boots,,SNOO-035,https://snoocommerce.onrender.com/product/35,https://snoocommerce.onrender.com/product/35,https://images.unsplash.com/photo-1520219306100-ec4afeeefe58?w=400&h=400&fit=crop,,,,139.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.6,124,Outdoor,,,,,,,,,,
36,Building Blocks Set,200-piece wooden building blocks in assorted shapes and colors for ages 3+.,PuzzleCo,toys-building,Toys & Games > Building Toys > Building Sets,Toys > Building,,SNOO-036,https://snoocommerce.onrender.com/product/36,https://snoocommerce.onrender.com/product/36,https://images.unsplash.com/photo-1596461404969-9ae70f2830c1?w=400&h=400&fit=crop,,,,29.99 USD,,,,in stock,kids,,unisex,,,,solid,new,,,TRUE,FALSE,,4.4,65,Toys,,,,,,,,,,
37,Portable Charger,10000mAh slim power bank with dual USB-C ports and fast charging.,TechLink,electronics-accessories,Electronics > Computer Accessories > Power Banks,Electronics > Chargers,,SNOO-037,https://snoocommerce.onrender.com/product/37,https://snoocommerce.onrender.com/product/37,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=400&h=400&fit=crop,,,,29.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.5,201,Electronics,,,,,,,,,,
38,Hoodie,Heavyweight cotton-blend pullover hoodie with kangaroo pocket.,ThreadBase,clothing-tops,Apparel & Accessories > Clothing > Outerwear > Hoodies,Clothing > Hoodies,,SNOO-038,https://snoocommerce.onrender.com/product/38,https://snoocommerce.onrender.com/product/38,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=400&h=400&fit=crop,,,,49.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,118,Clothing,,,,,,,,,,
39,Cutting Board Set,Set of 3 bamboo cutting boards in graduated sizes with juice grooves.,IronHearth,kitchen-prep,Home & Garden > Kitchen > Cutting Boards,Kitchen > Prep,,SNOO-039,https://snoocommerce.onrender.com/product/39,https://snoocommerce.onrender.com/product/39,https://images.unsplash.com/photo-1588165171080-c89acfa5ee83?w=400&h=400&fit=crop,,,,32.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,TRUE,FALSE,,4.2,52,Kitchen,,,,,,,,,,
40,Leather Wallet,Slim bifold wallet in full-grain leather with RFID-blocking technology.,UrbanCarry,accessories-wallets,Apparel & Accessories > Handbags & Wallets > Wallets,Accessories > Wallets,,SNOO-040,https://snoocommerce.onrender.com/product/40,https://snoocommerce.onrender.com/product/40,https://images.unsplash.com/photo-1627123424574-724758594e93?w=400&h=400&fit=crop,,,,49.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.5,89,Accessories,,,,,,,,,,
41,Hand Cream Set,"Nourishing hand cream trio in shea butter, aloe vera, and coconut scents.",PureSkin,beauty-body,Health & Beauty > Skin Care > Hand Care,Beauty > Hand Care,,SNOO-041,https://snoocommerce.onrender.com/product/41,https://snoocommerce.onrender.com/product/41,https://images.unsplash.com/photo-1608248543803-ba4f8c70ae0b?w=400&h=400&fit=crop,,,,18.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,TRUE,FALSE,,4.1,47,Beauty,,,,,,,,,,
42,Fountain Pen,Classic fountain pen with iridium nib and piston-fill ink system.,InkWell,office-writing,Office Supplies > Writing Instruments > Pens,Office > Pens,,SNOO-042,https://snoocommerce.onrender.com/product/42,https://snoocommerce.onrender.com/product/42,https://images.unsplash.com/photo-1583485088034-697b5bc54ccd?w=400&h=400&fit=crop,,,,42.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.6,73,Office,,,,,,,,,,
43,Camping Lantern,"Rechargeable LED camping lantern with 3 brightness modes and 200-hour runtime.",TrailBound,outdoor-lighting,Sporting Goods > Outdoor Recreation > Camping > Lanterns,Outdoor > Lanterns,,SNOO-043,https://snoocommerce.onrender.com/product/43,https://snoocommerce.onrender.com/product/43,https://images.unsplash.com/photo-1510312305653-8ed496efae75?w=400&h=400&fit=crop,,,,24.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.4,61,Outdoor,,,,,,,,,,
44,Remote Control Car,High-speed RC car with 2.4GHz controller and rechargeable battery pack.,PuzzleCo,toys-vehicles,Toys & Games > Remote Control Toys > RC Cars,Toys > RC,,SNOO-044,https://snoocommerce.onrender.com/product/44,https://snoocommerce.onrender.com/product/44,https://images.unsplash.com/photo-1581235707960-35f13de721b4?w=400&h=400&fit=crop,,,,39.99 USD,,,,in stock,kids,,unisex,,,,solid,new,,,FALSE,FALSE,,4.2,84,Toys,,,,,,,,,,
45,Webcam HD,"1080p HD webcam with auto-focus, noise-reducing microphone, and privacy cover.",TechLink,electronics-peripherals,Electronics > Computers > Webcams,Electronics > Webcams,,SNOO-045,https://snoocommerce.onrender.com/product/45,https://snoocommerce.onrender.com/product/45,https://images.unsplash.com/photo-1587826080692-f439cd0b70da?w=400&h=400&fit=crop,,,,54.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,99,Electronics,,,,,,,,,,
46,Chino Pants,Slim-fit stretch chino pants with a comfortable mid-rise waist.,ThreadBase,clothing-bottoms,Apparel & Accessories > Clothing > Pants,Clothing > Pants,,SNOO-046,https://snoocommerce.onrender.com/product/46,https://snoocommerce.onrender.com/product/46,https://images.unsplash.com/photo-1473966968600-fa801b869a1a?w=400&h=400&fit=crop,,,,59.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.1,55,Clothing,,,,,,,,,,
47,Tea Kettle,Stainless steel stovetop kettle with ergonomic handle and whistle alert.,BrewMaster,kitchen-appliances,Home & Garden > Kitchen > Kettles,Kitchen > Kettles,,SNOO-047,https://snoocommerce.onrender.com/product/47,https://snoocommerce.onrender.com/product/47,https://images.unsplash.com/photo-1556679343-c7306c1976bc?w=400&h=400&fit=crop,,,,37.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.4,68,Kitchen,,,,,,,,,,
48,Crossbody Bag,Compact crossbody bag with adjustable strap and multiple zip compartments.,UrbanCarry,accessories-bags,Apparel & Accessories > Handbags & Wallets > Crossbody Bags,Accessories > Bags,,SNOO-048,https://snoocommerce.onrender.com/product/48,https://snoocommerce.onrender.com/product/48,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=400&h=400&fit=crop,,,,44.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.2,57,Accessories,,,,,,,,,,
49,Facial Serum,Vitamin C brightening serum with niacinamide for even skin tone.,PureSkin,beauty-skincare,Health & Beauty > Skin Care > Serums,Beauty > Skincare,,SNOO-049,https://snoocommerce.onrender.com/product/49,https://snoocommerce.onrender.com/product/49,https://images.unsplash.com/photo-1620916566398-39f1143ab7be?w=400&h=400&fit=crop,,,,34.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.6,156,Beauty,,,,,,,,,,
50,Standing Desk Converter,Adjustable sit-stand desk riser with gas spring lift and keyboard tray.,LumiDesk,office-furniture,Office Supplies > Office Furniture > Desks,Office > Desks,,SNOO-050,https://snoocommerce.onrender.com/product/50,https://snoocommerce.onrender.com/product/50,https://images.unsplash.com/photo-1595515106969-1ce29566ff1c?w=400&h=400&fit=crop,,,,189.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.4,42,Office,,,,,,,,,,
51,Sleeping Bag,Lightweight mummy sleeping bag rated to 30°F with compression sack.,TrailBound,outdoor-camping,Sporting Goods > Outdoor Recreation > Camping > Sleeping Bags,Outdoor > Sleeping Bags,,SNOO-051,https://snoocommerce.onrender.com/product/51,https://snoocommerce.onrender.com/product/51,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=400&h=400&fit=crop,,,,79.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.5,77,Outdoor,,,,,,,,,,
52,Board Game Classic,Strategy board game for 2-6 players with beautifully illustrated tiles.,PuzzleCo,toys-games,Toys & Games > Board Games,Toys > Board Games,,SNOO-052,https://snoocommerce.onrender.com/product/52,https://snoocommerce.onrender.com/product/52,https://images.unsplash.com/photo-1611371805429-8b5c1b2c34ba?w=400&h=400&fit=crop,,,,24.99 USD,,,,in stock,adult,,unisex,,,,printed,new,,,FALSE,FALSE,,4.7,93,Toys,,,,,,,,,,
53,Smart Watch,"Fitness smartwatch with heart rate monitor, GPS, and 7-day battery life.",TimeCraft,electronics-wearables,Electronics > Wearable Technology > Smart Watches,Electronics > Watches,,SNOO-053,https://snoocommerce.onrender.com/product/53,https://snoocommerce.onrender.com/product/53,https://images.unsplash.com/photo-1546868871-af0de0ae72be?w=400&h=400&fit=crop,,,,199.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.5,215,Electronics,Best Sellers,,,,,,,,,
54,Bomber Jacket,Lightweight bomber jacket with ribbed cuffs and satin-finish shell.,ThreadBase,clothing-outerwear,Apparel & Accessories > Clothing > Outerwear > Jackets,Clothing > Jackets,,SNOO-054,https://snoocommerce.onrender.com/product/54,https://snoocommerce.onrender.com/product/54,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=400&h=400&fit=crop,,,,89.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.3,66,Clothing,,,,,,,,,,
55,Blender,High-power countertop blender with 6 stainless steel blades and 48oz jar.,BrewMaster,kitchen-appliances,Home & Garden > Kitchen > Blenders,Kitchen > Blenders,,SNOO-055,https://snoocommerce.onrender.com/product/55,https://snoocommerce.onrender.com/product/55,https://images.unsplash.com/photo-1570222094114-d054a817e56b?w=400&h=400&fit=crop,,,,64.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.2,81,Kitchen,,,,,,,,,,
56,Belt,"Reversible leather belt with brushed nickel buckle — black and brown in one.",UrbanCarry,accessories-belts,Apparel & Accessories > Clothing Accessories > Belts,Accessories > Belts,,SNOO-056,https://snoocommerce.onrender.com/product/56,https://snoocommerce.onrender.com/product/56,https://images.unsplash.com/photo-1553062407-98eeb64c6a45?w=400&h=400&fit=crop,,,,29.99 USD,,,,in stock,adult,,unisex,,,,solid,new,,,FALSE,FALSE,,4.0,39,Accessories,,,,,,,,,,
